timestamp=2025-12-04T13:41:05.243Z level=INFO fiber=#0 message="Starting Salesforce Metadata API scraper (visible: false, browsers: 5, concurrency: 20, total: 100)"
timestamp=2025-12-04T13:41:07.680Z level=INFO fiber=#361 message="[73/566] AuthProvider → Browser 3"
timestamp=2025-12-04T13:41:07.687Z level=INFO fiber=#351 message="[63/566] ApexTrigger → Browser 3"
timestamp=2025-12-04T13:41:07.925Z level=INFO fiber=#348 message="[60/566] ApexEmailNotifications → Browser 5"
timestamp=2025-12-04T13:41:08.005Z level=INFO fiber=#385 message="[97/566] ChatterExtension → Browser 2"
timestamp=2025-12-04T13:41:08.007Z level=INFO fiber=#375 message="[87/566] CallCenterRoutingMap → Browser 2"
timestamp=2025-12-04T13:41:08.008Z level=INFO fiber=#305 message="[17/566] DataSourceField → Browser 2"
timestamp=2025-12-04T13:41:08.025Z level=INFO fiber=#317 message="[29/566] InternalDataConnector → Browser 4"
timestamp=2025-12-04T13:41:08.027Z level=INFO fiber=#335 message="[47/566] AIUsecaseDefinition → Browser 2"
timestamp=2025-12-04T13:41:08.029Z level=INFO fiber=#310 message="[22/566] DataStreamTemplate → Browser 2"
timestamp=2025-12-04T13:41:08.030Z level=INFO fiber=#295 message="[7/566] ActvPlatformFieldValue → Browser 2"
timestamp=2025-12-04T13:41:08.032Z level=INFO fiber=#350 message="[62/566] ApexTestSuite → Browser 2"
timestamp=2025-12-04T13:41:08.041Z level=INFO fiber=#315 message="[27/566] ExternalDataTransportObjectTemplate → Browser 2"
timestamp=2025-12-04T13:41:08.043Z level=INFO fiber=#345 message="[57/566] ArticleType CustomField → Browser 2"
timestamp=2025-12-04T13:41:08.045Z level=INFO fiber=#341 message="[53/566] AppFrameworkTemplateBundle → Browser 3"
timestamp=2025-12-04T13:41:08.048Z level=INFO fiber=#339 message="[51/566] AnalyticsWorkspace → Browser 1"
timestamp=2025-12-04T13:41:08.052Z level=INFO fiber=#384 message="[96/566] Certificate → Browser 1"
timestamp=2025-12-04T13:41:08.388Z level=INFO fiber=#379 message="[91/566] CareBenefitVerifySettings → Browser 1"
timestamp=2025-12-04T13:41:08.490Z level=INFO fiber=#319 message="[31/566] MktCalcInsightObjectDef → Browser 1"
